Q001,Q002,Q006,Q025,Q027,NU_NOTA_MT
E,E,G,B,A,573.5
F,F,G,B,A,783.9
F,F,G,B,A,717.4
C,D,H,A,A,678.5
B,C,C,A,A,507.8
B,B,B,B,A,462.8
E,E,C,B,A,513.9
E,E,F,B,A,523.3
E,E,D,B,A,533.7
C,F,E,B,A,385.9
F,E,D,B,A,440.8
E,D,C,B,A,618.3
B,B,E,B,A,441.1
E,E,B,A,C,700.9
E,D,E,B,A,610.2
B,B,C,B,A,641.1
E,A,C,B,A,716.7
D,E,D,B,A,575.7
E,F,E,B,D,493.4
E,F,G,B,A,639.6
A,D,C,B,A,483.6
A,F,G,B,E,797.3
B,E,C,B,A,440.3
B,D,E,B,A,565.2
E,E,G,B,A,601.7
E,G,Q,B,E,751.3
E,E,D,B,A,571.8
B,B,D,A,A,559.2
D,E,G,A,B,728.5
C,G,H,B,D,591.1
B,B,C,B,A,421.5
C,E,C,B,A,645.9
B,B,C,A,A,439.4
B,E,E,B,C,512.2
B,D,B,B,A,466.9
B,B,D,A,A,494.1
C,C,B,B,A,531.8
G,C,C,B,A,682.5
D,E,B,A,A,489.1
G,G,H,B,D,762
E,E,C,B,A,439
E,F,C,B,B,550
D,C,B,A,A,672.1
D,E,B,B,A,546.8
C,E,G,B,E,792.7
B,C,B,B,A,444.9
B,E,C,B,A,421.3
E,C,E,B,A,536.4
E,C,G,B,D,508.9
E,F,C,B,A,475.5
E,E,E,B,A,661.2
G,F,H,B,A,666.6
E,F,C,B,A,370.3
A,A,B,B,A,437.1
F,G,O,B,D,600
F,F,J,B,E,847.7
E,F,C,A,A,653.4
C,B,C,A,A,522.3
C,D,D,B,A,376.8
E,G,P,B,D,744.5
F,F,N,B,D,789.3
E,E,C,B,A,644
C,E,D,B,A,552.5
B,C,C,B,B,503.3
E,F,G,B,A,694.8
E,D,G,B,A,457.1
F,F,H,B,A,708.2
F,F,I,B,B,604.2
E,D,C,B,A,624.8
E,E,E,B,B,714.9
C,C,C,B,A,596.8
E,E,B,B,A,732.1
D,A,C,A,A,506.6
C,F,J,B,D,687.8
E,F,C,B,E,688.2
E,F,G,B,A,478.3
F,F,J,B,E,769.8
D,D,C,B,A,507.4
C,B,C,B,A,471.4
G,G,M,B,D,734.3
E,F,D,B,A,580.1
B,D,G,B,A,771.9
F,B,C,A,A,557.1
F,F,G,A,A,522.9
F,F,D,B,C,682.8
E,B,D,A,A,507.8
F,D,O,B,D,600.7
E,G,H,B,A,683.7
B,E,D,B,A,570.5
E,E,C,B,A,551.1
D,G,C,B,A,540.8
E,F,D,B,B,665.4
B,E,D,B,A,515.3
B,D,B,B,A,575.4
B,B,C,B,A,575.7
F,G,G,B,C,509.5
E,E,B,B,A,460.3
C,E,H,B,A,566
D,E,D,B,A,693.4
D,E,F,B,A,659
F,E,G,B,A,452.8
D,E,C,B,A,501.1
E,E,H,B,A,398.3
G,E,O,B,D,556.6
E,F,E,B,E,669.7
E,E,D,B,A,492.1
E,F,D,B,A,447.7
E,D,E,B,B,436
B,D,D,B,A,513.5
D,C,C,B,A,581.5
F,D,G,B,A,502
E,D,I,B,A,612.4
E,E,G,A,E,607.4
E,E,G,B,C,711.2
E,E,G,B,A,620.7
F,F,F,B,A,511
D,C,C,B,A,658.9
E,F,G,B,D,650.7
F,E,E,B,C,787.7
B,E,B,A,A,522.6
E,C,B,A,A,712.6
E,F,G,B,A,703.1
E,E,B,B,A,500.3
D,D,C,B,A,554.5
B,B,C,A,A,457.4
D,E,G,B,A,472
E,D,E,B,A,559.2
C,C,F,B,A,445.6
E,F,E,B,B,467.7
B,G,E,B,A,552.9
F,F,I,B,E,807.5
B,C,C,B,A,632.8
D,D,B,A,A,556.4
E,E,B,A,A,691.3
E,F,C,B,A,565.5
D,F,J,B,D,731.4
D,C,D,B,A,555.6
F,F,G,B,A,732.2
C,D,E,B,A,483.5
F,E,L,B,D,507.3
D,E,F,B,A,452.2
F,F,D,B,E,608.3
E,E,C,B,A,425.2
E,E,H,B,A,680.8
D,E,D,B,A,579.7
C,D,G,B,A,448.4
G,G,Q,B,D,924.6
E,E,G,B,D,661.6
E,F,H,B,A,469.8
E,G,J,B,B,586.6
F,F,N,B,A,845
E,E,F,B,A,532.7
D,F,D,B,A,485
G,G,B,B,B,522.1
C,C,C,A,A,482.1
E,F,G,B,A,666.1
C,G,E,B,A,777.2
E,E,C,B,A,578.5
F,G,Q,B,D,901.7
A,B,C,A,A,449.9
F,E,C,B,A,473.2
E,C,C,B,A,700.5
D,D,E,B,A,411.9
E,E,I,B,C,556.2
E,D,C,A,A,524.2
G,F,J,B,D,722.1
F,G,Q,B,D,841.6
B,C,D,B,B,620.4
G,G,E,B,D,759.9
